<p>NO</p>,<p>名前</p>,<p>NAME</p>,<p>POS</p>,<p>状態</p>,<p>身長<br>(cm)</p>,<p>体重<br>(kg)</p>,<p>NFL<br>年数</p>,<p>出身</p>
25,イズレイエル・アバニカンダ,Israel Abanikanda,RB,ACT,180,97,01,Pittsburgh,
22,トニー・アダムズ,Tony Adams,DB,ACT,182,93,02,Illinois,
00,エイドリアン・エイモス,Adrian Amos,S,ACT,182,98,09,Penn State,
53,ザイール・バーンズ,Zaire Barnes,LB,ACT,185,105,01,Western Michigan,
48,ニック・バーデン,Nick Bawden,RB,ACT,187,111,06,San Diego State,
77,メカイ・ベクトン,Mekhi Becton,OT,ACT,200,164,04,Louisville,
29,Jarrick・Bernard-Converse,Jarrick Bernard-Converse,SAF,ACT,185,93,01,LSU,
07,ティム・ボイル,Tim Boyle,QB,ACT,193,106,05,Eastern Kentucky,
16,ジェイソン・ブラウンリー,Jason Brownlee,WR,ACT,187,89,01,Southern Mississippi,
30,マイケル・カーター・II,Michael Carter,CB,ACT,177,83,03,Duke,
19,アーヴィン・チャールズ,Irvin Charles,WR,ACT,193,99,01,Indiana PA, University of,
72,マイケル・クレモンズ,Micheal Clemons,DE,ACT,195,122,02,Texas A&M,
18,ランドール・コッブ,Randall Cobb,WR,ACT,177,87,13,Kentucky,
83,タイラー・コンクリン,Tyler Conklin,TE,ACT,190,115,06,Central Michigan,
33,ダルビン・クック,Dalvin Cook,RB,ACT,177,95,07,Florida State,
21,アシュティン・デービス,Ashtyn Davis,SAF,ACT,185,91,04,California,
64,オースティン・Deculus,Austin Deculus,OT,ACT,195,145,02,LSU,
26,ブランディン・エコールズ,Brandin Echols,CB,ACT,177,81,03,Kentucky,
52,サム・Eguavoen,Sam Eguavoen,LB,ACT,185,107,05,Texas Tech,
91,ジョン・フランクリン-マイヤーズ,John Franklin-Myers,DE,ACT,193,130,06,Stephen F. Austin State,
01,ソース・ガードナー,Sauce Gardner,CB,ACT,190,90,02,Cincinnati,
82,ゼイヴィア・ギプソン,Xavier Gipson,WR,ACT,175,85,01,Stephen F. Austin State,
63,クリス・グレザー,Chris Glaser,G,ACT,193,138,01,Virginia,
20,ブリース・ホール,Breece Hall,RB,ACT,185,99,02,Iowa State,
37,ブライス・ホール,Bryce Hall,CB,ACT,185,91,04,Virginia,
42,トーマス・ヘネシー,Thomas Hennessy,LS,ACT,187,111,07,Duke,
47,ブライス・ハフ,Bryce Huff,DE,ACT,190,115,04,Memphis,
70,クイントン・ジェファーソン,Quinton Jefferson,DE,ACT,193,132,08,Maryland,
11,ジャーメイン・ジョンソン・II,Jermaine Johnson,LB,ACT,195,118,02,Florida State,
68,デニス・ケリー,Dennis Kelly,OT,ACT,203,145,12,Purdue,
58,カール・ローソン,Carl Lawson,DE,ACT,187,120,07,Auburn,
10,アレン・ラザード,Allen Lazard,WR,ACT,195,103,05,Iowa State,
99,ウィル・マクドナルド・IV,Will McDonald,DE,ACT,190,109,01,Iowa State,
61,マックス・ミッチェル,Max Mitchell,OT,ACT,198,135,02,Louisiana,
05,トーマス・モーステッド,Thomas Morstead,P,ACT,193,102,15,SMU,
57,C.J.・モズリー,C.J. Mosley,ILB,ACT,187,104,09,Alabama,
04,D.J.・リード,D.J. Reed,CB,ACT,175,85,06,Kansas State,
89,ジェレミー・ロカート,Jeremy Ruckert,TE,ACT,195,113,02,Ohio State,
44,ジェミアン・シャーウッド,Jamien Sherwood,LB,ACT,187,98,03,Auburn,
14,トレヴァー・シーミアン,Trevor Siemian,QB,ACT,190,99,08,Northwestern,
55,チャズ・サラット,Chazz Surratt,LB,ACT,187,105,02,North Carolina,
94,ソロモン・トーマス,Solomon Thomas,DE,ACT,187,116,07,Stanford,
66,ジョー・ティップマン,Joe Tippmann,G,ACT,198,143,01,Wisconsin,
78,ラーケン・トムリンソン,Laken Tomlinson,G,ACT,190,146,09,Duke,
54,ビリー・ターナー,Billy Turner,OT,ACT,195,142,10,North Dakota State,
87,C.J.・ウゾマ,C.J. Uzomah,TE,ACT,198,123,09,Auburn,
67,カーター・ウォーレン,Carter Warren,OT,ACT,195,141,01,Pittsburgh,
03,ジョーダン・ホワイトヘッド,Jordan Whitehead,FS,ACT,177,89,06,Pittsburgh,
95,クイネン・ウィリアムス,Quinnen Williams,DT,ACT,190,137,05,Alabama,
56,クインシー・ウィリアムス,Quincy Williams,LB,ACT,180,102,05,Murray State,
